density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
59.8,38079,5.9,16.6,22.8,38.1,39.4,5.5-6
24.0,16919,6.6,19.2,27.8,34.9,40.0,6.5-7
1261.9,961793,6.3,17.4,19.0,30.1,40.2,6-6.5
487.1,319784,6.6,18.0,19.6,28.2,41.3,6.5-7
239.8,116416,6.5,19.4,20.7,26.1,39.5,6.5-7
23.0,12286,6.6,21.6,25.0,33.4,39.7,6.5-7
88.4,45669,6.0,16.0,21.9,35.4,42.9,6-6.5
53.5,18716,6.7,19.3,25.0,32.0,38.7,6.5-7
17.3,13948,6.2,18.0,24.2,36.5,39.6,6-6.5
25.7,14474,6.7,20.2,23.0,31.2,41.0,6.5-7
28.1,14449,6.3,18.8,27.6,38.2,40.7,6-6.5
42.2,26938,5.9,16.9,22.5,41.3,39.9,5.5-6
36.5,42033,5.5,16.5,21.5,41.8,41.5,5.5-6
414.9,196043,6.4,19.8,20.9,31.0,39.2,6-6.5
105.3,107017,6.2,18.2,20.9,31.5,36.9,6-6.5
1444.2,1473380,5.9,17.9,16.1,26.9,37.6,5.5-6
41.2,19703,6.7,18.2,26.8,36.2,41.6,6.5-7
321.2,161546,6.4,18.7,18.1,27.2,36.9,6-6.5
51.3,47080,6.3,17.9,25.5,37.9,40.1,6-6.5
23.9,14288,6.4,19.0,22.6,32.4,38.7,6-6.5
15.3,8315,6.5,19.0,25.6,36.4,40.8,6.5-7
396.2,371792,6.4,17.7,19.3,29.0,40.2,6-6.5
990.9,777411,6.3,20.5,17.2,26.9,36.8,6-6.5
441.5,294412,6.4,17.2,16.6,24.9,38.5,6-6.5
37.4,41797,6.6,17.7,24.6,33.5,40.5,6.5-7
10.0,8393,6.5,19.9,25.6,33.8,38.5,6.5-7
26.6,18524,6.3,17.3,24.2,35.5,41.7,6-6.5
548.6,407576,6.3,19.6,17.1,26.2,36.5,6-6.5
233.0,369231,6.4,19.0,21.4,29.5,40.1,6-6.5
298.1,161980,6.5,21.0,17.0,25.6,35.7,6.5-7
1434.0,2721256,5.0,17.7,13.6,33.7,38.8,5-5.5
75.4,74150,6.2,23.2,17.1,26.7,38.0,6-6.5
138.4,89773,6.8,21.4,18.8,26.0,37.1,6.5-7
228.0,212140,6.5,19.4,18.0,26.4,39.0,6.5-7
55.0,42326,6.3,17.9,23.5,39.6,41.1,6-6.5
1546.1,1396795,5.7,18.3,15.3,29.9,40.8,5.5-6
285.1,378454,5.4,16.2,15.6,31.5,37.1,5-5.5
762.5,1502034,6.1,19.2,14.9,24.4,37.5,6-6.5
750.4,560435,6.3,19.2,21.1,28.2,39.0,6-6.5
3579.0,979919,6.5,21.2,18.9,23.3,38.0,6.5-7
407.4,732435,6.2,17.0,18.4,32.8,40.2,6-6.5
103.0,74925,6.5,17.5,27.2,35.9,41.4,6.5-7
447.7,268905,6.5,21.1,16.4,22.2,33.9,6.5-7
580.5,331983,6.2,17.1,18.1,28.7,40.3,6-6.5
184.2,186294,6.6,19.1,19.4,26.2,39.4,6.5-7
787.8,437909,6.6,21.7,17.2,22.7,35.1,6.5-7
1531.4,473544,6.2,18.7,13.5,23.2,38.3,6-6.5
246.1,134623,6.4,19.4,17.2,23.7,39.4,6-6.5
64.7,44525,6.6,19.6,23.1,31.8,41.4,6.5-7
20.7,21546,6.6,18.4,27.6,34.6,41.5,6.5-7
61.6,14998,6.4,19.8,27.0,32.3,44.5,6-6.5
507.1,558323,6.3,21.1,20.8,27.8,40.2,6-6.5
56.4,34178,6.7,20.3,20.9,28.2,38.5,6.5-7
72.7,75397,6.8,19.9,20.7,26.2,39.6,6.5-7
